rank,name,position,team,salary,season
7,Carmelo Anthony,PF,New York Knicks,18518574,2012
8,Amar'e Stoudemire,C,New York Knicks,18217705,2012
9,Elton Brand,PF,Philadelphia 76ers,18160355,2012
10,Dwight Howard,C,Orlando Magic,18091770,2012
11,Joe Johnson,G,Atlanta Hawks,18038573,2012
12,Andrei Kirilenko,SF,Philadelphia 76ers,17823000,2012
13,Chris Bosh,PF,Miami Heat,17545000,2012
14,LeBron James,SF,Miami Heat,17545000,2012
15,Chris Paul,PG,LA Clippers,16359805,2012
16,Deron Williams,PG,New Jersey Nets,16359805,2012
17,Dwyane Wade,G,Miami Heat,15691000,2012
18,Kevin Durant,SF,Oklahoma City Thunder,15506632,2012
19,Paul Pierce,SF,Boston Celtics,15333334,2012
20,Zach Randolph,F,Memphis Grizzlies,15200000,2012
21,Antawn Jamison,PF,Cleveland Cavaliers,15076715,2012
22,Rudy Gay,SF,Memphis Grizzlies,15032144,2012
23,Brandon Roy,SG,Minnesota Timberwolves,15032144,2012
24,Al Jefferson,C,Utah Jazz,15000000,2012
25,Andrew Bynum,C,Los Angeles Lakers,14900000,2012
26,Andre Iguodala,SG,Philadelphia 76ers,14718250,2012
27,Manu Ginobili,G,San Antonio Spurs,14107492,2012
28,Chris Kaman,C,New Orleans Hornets,14030000,2012
29,LaMarcus Aldridge,PF,Portland Trail Blazers,14000000,2012
30,Carlos Boozer,PF,Chicago Bulls,13500000,2012
31,Tyson Chandler,C,New York Knicks,13107837,2012
32,Nene Hilario,C,Washington Wizards,13000000,2012
33,Marc Gasol,C,Memphis Grizzlies,12922194,2012
34,Emeka Okafor,C,New Orleans Hornets,12642500,2012
35,Tony Parker,G,San Antonio Spurs,12500000,2012
36,Al Horford,PF,Atlanta Hawks,12498483,2012
37,Josh Smith,PF,Atlanta Hawks,12400000,2012
38,Luol Deng,F,Chicago Bulls,12325000,2012
39,Danny Granger,SF,Indiana Pacers,12015904,2012
40,Joakim Noah,C,Chicago Bulls,12000000,2012
41,Andrew Bogut,C,Milwaukee Bucks,12000000,2012
42,Steve Nash,PG,Phoenix Suns,11689062,2012
43,David Lee,PF,Golden State Warriors,11610000,2012
44,Ben Gordon,SG,Detroit Pistons,11600000,2012
45,Kevin Martin,SG,Houston Rockets,11519840,2012
46,Marcus Camby,C,Portland Trail Blazers,11227250,2012
47,Jason Terry,G,Dallas Mavericks,11158000,2012
48,Hedo Turkoglu,SF,Orlando Magic,11015850,2012
49,Monta Ellis,SG,Milwaukee Bucks,11000000,2012
50,Mehmet Okur,C,New Jersey Nets,10890000,2012
51,Jose Calderon,G,Toronto Raptors,10561982,2012
52,Corey Maggette,SF,Charlotte Bobcats,10262069,2012
53,Jason Kidd,PG,Dallas Mavericks,10121000,2012
54,DeAndre Jordan,C,LA Clippers,10079404,2012
55,Rajon Rondo,PG,Boston Celtics,10045454,2012
56,Andrea Bargnani,C,Toronto Raptors,10000000,2012
57,Ray Allen,SG,Boston Celtics,10000000,2012
58,David West,F,Indiana Pacers,10000000,2012
59,Gerald Wallace,SF,Portland Trail Blazers,9500000,2012
60,Cuttino Mobley,SG,LA Clippers,9500000,2012
61,Devin Harris,G,Utah Jazz,9319000,2012
62,Richard Jefferson,F,San Antonio Spurs,9282000,2012
63,Andris Biedrins,C,Golden State Warriors,9000000,2012
64,Lamar Odom,PF,Dallas Mavericks,8900000,2012
65,Paul Millsap,PF,Utah Jazz,8603633,2012
66,Jameer Nelson,G,Orlando Magic,8600000,2012
67,Luis Scola,PF,Houston Rockets,8591793,2012
68,Carl Landry,PF,New Orleans Hornets,8500000,2012
69,Rodney Stuckey,PG,Detroit Pistons,8500000,2012
70,Mo Williams,PG,LA Clippers,8500000,2012
71,John Salmons,SF,Sacramento Kings,8083000,2012
72,Thaddeus Young,PF,Philadelphia 76ers,8039130,2012
73,Shawn Marion,SG,Dallas Mavericks,8022449,2012
74,Caron Butler,SF,LA Clippers,8000000,2012
75,Kris Humphries,PF,New Jersey Nets,8000000,2012
76,Kirk Hinrich,SG,Atlanta Hawks,8000000,2012
77,Mark Blount,C,Miami Heat,7967375,2012
78,Andre Miller,PG,Denver Nuggets,7807728,2012
79,Arron Afflalo,G,Denver Nuggets,7750000,2012
80,Anderson Varejao,C,Cleveland Cavaliers,7700000,2012
81,Brendan Haywood,C,Dallas Mavericks,7624500,2012
82,Leandro Barbosa,SG,Toronto Raptors,7600000,2012
83,James Posey,SF,Indiana Pacers,7595600,2012
84,Raymond Felton,G,Portland Trail Blazers,7560000,2012
85,Charlie Villanueva,PF,Detroit Pistons,7540000,2012
86,Marcus Thornton,SG,Sacramento Kings,7525000,2012
87,Marvin Williams,PF,Atlanta Hawks,7500000,2012
88,Tyrus Thomas,PF,Charlotte Bobcats,7305785,2012
89,Marcin Gortat,C,Phoenix Suns,7258960,2012
90,Kendrick Perkins,C,Oklahoma City Thunder,7123626,2012
91,Marko Jaric,PG,Brooklyn Nets,7100000,2012
92,Samuel Dalembert,C,Houston Rockets,7000000,2012
93,Derrick Rose,PG,Chicago Bulls,6993708,2012
94,Beno Udrih,PG,Milwaukee Bucks,6925400,2012
95,DeSagana Diop,C,Charlotte Bobcats,6925400,2012
96,Trevor Ariza,SF,New Orleans Hornets,6790640,2012
97,Metta World Peace,SF,Los Angeles Lakers,6790640,2012
98,Kwame Brown,C,Golden State Warriors,6750000,2012
99,JJ Redick,SG,Orlando Magic,6750000,2012
100,Morris Peterson,SG,Oklahoma City Thunder,6665000,2012
101,Andres Nocioni,SF,Philadelphia 76ers,6650000,2012
102,Mike Conley,PG,Memphis Grizzlies,6611571,2012
103,Jerome James,C,Chicago Bulls,6600000,2012
104,Wesley Matthews,SG,Portland Trail Blazers,6505320,2012
105,Grant Hill,SF,Phoenix Suns,6500000,2012
106,Josh Childress,F,Phoenix Suns,6500000,2012
107,Andray Blatche,C,Washington Wizards,6442083,2012
108,Rasheed Wallace,PF,New York Knicks,6322320,2012
109,Glen Davis,PF,Orlando Magic,6300000,2012
110,Tayshaun Prince,SF,Detroit Pistons,6292135,2012
111,Michael Beasley,SF,Minnesota Timberwolves,6262347,2012
112,Drew Gooden,PF,Milwaukee Bucks,6226200,2012
113,Al Harrington,PF,Denver Nuggets,6226200,2012
114,Jermaine O'Neal,C,Boston Celtics,6226200,2012
115,Francisco Garcia,SG,Sacramento Kings,6100000,2012
116,Amir Johnson,F,Toronto Raptors,6000000,2012
117,Channing Frye,F,Phoenix Suns,6000000,2012
118,Luke Walton,SF,Los Angeles Lakers,5971363,2012
119,Kyle Lowry,PG,Houston Rockets,5750000,2012
120,Blake Griffin,PF,LA Clippers,5731080,2012
121,O.J. Mayo,SG,Memphis Grizzlies,5632637,2012
122,Nenad Krstic,C,Bilbao Basket Bilbao Basket,5543116,2012
123,John Wall,PG,Washington Wizards,5530080,2012
124,Wilson Chandler,SF,Denver Nuggets,5516664,2012
125,Chuck Hayes,PF,Sacramento Kings,5486250,2012
126,Sasha Vujacic,SG,New York Knicks,5475113,2012
127,Mike Miller,SG,Miami Heat,5400000,2012
128,Jason Richardson,SG,Orlando Magic,5395000,2012
129,Evan Turner,SG,Philadelphia 76ers,5293080,2012
130,Martell Webster,SF,Minnesota Timberwolves,5256000,2012
131,Tyreke Evans,G,Sacramento Kings,5251825,2012
132,Antonio McDyess,PF,San Antonio Spurs,5220000,2012
133,Speedy Claxton,PG,Atlanta Hawks,5209454,2012
134,Lou Williams,SG,Philadelphia 76ers,5176000,2012
135,Kyrie Irving,PG,Cleveland Cavaliers,5144280,2012
136,Hasheem Thabeet,C,Portland Trail Blazers,5127720,2012
137,Russell Westbrook,PG,Oklahoma City Thunder,5082416,2012
138,Jason Maxiell,PF,Detroit Pistons,5000000,2012
139,Jamal Crawford,SG,Portland Trail Blazers,5000000,2012
140,Kyle Korver,SG,Chicago Bulls,5000000,2012
141,Luc Mbah a Moute,PF,Milwaukee Bucks,5000000,2012
142,Richard Hamilton,SG,Chicago Bulls,5000000,2012
143,Jarrett Jack,G,New Orleans Hornets,5000000,2012
144,Marcus Banks,PG,New Orleans Pelicans,4847586,2012
145,Darius Songaila,PF,Philadelphia 76ers,4818000,2012
146,Darko Milicic,C,Minnesota Timberwolves,4776500,2012
147,Derrick Favors,C,Utah Jazz,4753320,2012
148,Brad Miller,C,Minnesota Timberwolves,4752000,2012
149,Zaza Pachulia,C,Atlanta Hawks,4750000,2012
150,Ronnie Brewer,SF,Chicago Bulls,4710000,2012
151,Kevin Love,PF,Minnesota Timberwolves,4609701,2012
152,James Harden,SG,Oklahoma City Thunder,4604760,2012
153,Derrick Williams,PF,Minnesota Timberwolves,4602720,2012
154,Linas Kleiza,SF,Toronto Raptors,4600000,2012
155,Nikola Pekovic,C,Minnesota Timberwolves,4503600,2012
156,Jonas Jerebko,F,Detroit Pistons,4500000,2012
157,Jeff Green,PF,Houston Rockets,4455988,2012
158,Daniel Gibson,SG,Cleveland Cavaliers,4403834,2012
159,Enes Kanter,C,Utah Jazz,4319280,2012
160,J.J. Barea,PG,Minnesota Timberwolves,4300000,2012
161,Ramon Sessions,G,Los Angeles Lakers,4257973,2012
162,Randy Foye,SG,LA Clippers,4250000,2012
163,Jared Dudley,SF,Phoenix Suns,4250000,2012
164,Brandon Bass,PF,Boston Celtics,4250000,2012
165,Chris Andersen,PF,Denver Nuggets,4234000,2012
166,Danilo Gallinari,PF,Denver Nuggets,4190182,2012
167,Bruce Bowen,SF,San Antonio Spurs,4100000,2012
168,Charlie Bell,SG,Golden State Warriors,4099920,2012
169,Greg Buckner,SG,Memphis Grizzlies,4080915,2012
170,Udonis Haslem,PF,Miami Heat,4060000,2012
171,Spencer Hawes,PF,Philadelphia 76ers,4051024,2012
172,Wesley Johnson,F,Minnesota Timberwolves,4006080,2012
173,Mario Chalmers,G,Miami Heat,4000000,2012
174,Jordan Farmar,PG,New Jersey Nets,4000000,2012
175,Anthony Morrow,SG,New Jersey Nets,4000000,2012
176,Hakim Warrick,PF,Phoenix Suns,4000000,2012
177,Steve Blake,PG,Los Angeles Lakers,4000000,2012
178,Ryan Gomes,SF,LA Clippers,4000000,2012
179,Tiago Splitter,C,San Antonio Spurs,3944000,2012
180,Matt Carroll,SG,Charlotte Bobcats,3900000,2012
181,DeMarcus Cousins,C,Sacramento Kings,3880800,2012
182,Eric Gordon,SG,New Orleans Hornets,3831184,2012
183,Dorell Wright,SF,Golden State Warriors,3823000,2012
184,Nazr Mohammed,C,Oklahoma City Thunder,3750000,2012
185,Mike Dunleavy,SG,Milwaukee Bucks,3750000,2012
186,Tristan Thompson,C,Cleveland Cavaliers,3726600,2012
187,C.J. Miles,SG,Utah Jazz,3700000,2012
188,Joel Anthony,PF,Miami Heat,3700000,2012
189,Nick Young,G,Washington Wizards,3695857,2012
190,Luke Ridnour,PG,Minnesota Timberwolves,3680000,2012
191,Matt Bonner,C,San Antonio Spurs,3630000,2012
192,Shannon Brown,PG,Phoenix Suns,3500000,2012
193,Carlos Delfino,SG,Milwaukee Bucks,3500000,2012
194,Shaun Livingston,G,Milwaukee Bucks,3500000,2012
195,Ricky Rubio,PG,Minnesota Timberwolves,3480120,2012
196,Raja Bell,SG,Utah Jazz,3480000,2012
197,Jonny Flynn,PG,Portland Trail Blazers,3414720,2012
198,C.J. Watson,PG,Chicago Bulls,3400000,2012
199,Marco Belinelli,SG,New Orleans Hornets,3377604,2012
200,DeMar DeRozan,SF,Toronto Raptors,3344250,2012
201,Timofey Mozgov,C,Denver Nuggets,3343896,2012
202,Daequan Cook,SG,Oklahoma City Thunder,3341558,2012
203,Thabo Sefolosha,SF,Oklahoma City Thunder,3300000,2012
204,Ekpe Udoh,F,Milwaukee Bucks,3294960,2012
205,Nick Collison,F,Oklahoma City Thunder,3272997,2012
206,Chris Duhon,PG,Orlando Magic,3250000,2012
207,Will Bynum,PG,Detroit Pistons,3250000,2012
208,Johan Petro,C,New Jersey Nets,3250000,2012
209,D.J. Augustin,PG,Charlotte Bobcats,3236470,2012
210,Tony Allen,SG,Memphis Grizzlies,3150000,2012
211,Shawne Williams,SF,New Jersey Nets,3135000,2012
212,Shane Battier,SF,Miami Heat,3135000,2012
213,Stephen Curry,PG,Golden State Warriors,3117120,2012
214,Brook Lopez,C,New Jersey Nets,3076983,2012
215,Jan Vesely,PF,Washington Wizards,3065040,2012
216,Corey Brewer,SG,Denver Nuggets,3059000,2012
217,Jerryd Bayless,G,Toronto Raptors,3042280,2012
218,Greg Monroe,C,Detroit Pistons,3007920,2012
219,Jason Thompson,PF,Sacramento Kings,3001284,2012
220,Travis Outlaw,SF,Sacramento Kings,3000000,2012
221,Jeff Foster,PF,Indiana Pacers,3000000,2012
222,Josh McRoberts,PF,Los Angeles Lakers,3000000,2012
223,Chris Wilcox,PF,Boston Celtics,3000000,2012
224,Vince Carter,G,Dallas Mavericks,3000000,2012
225,Brandon Rush,F,Golden State Warriors,2956658,2012
226,Anthony Randolph,SF,Minnesota Timberwolves,2911231,2012
227,Robin Lopez,C,Phoenix Suns,2862602,2012
228,Julian Wright,SF,Toronto Raptors,2858057,2012
229,Jordan Hill,C,Los Angeles Lakers,2855760,2012
230,Mark Madsen,PF,Minnesota Timberwolves,2840000,2012
231,James Johnson,PF,Toronto Raptors,2812006,2012
232,Bismack Biyombo,C,Charlotte Bobcats,2798040,2012
233,Lou Amundson,PF,Indiana Pacers,2763450,2012
234,Al-Farouq Aminu,PF,New Orleans Hornets,2755560,2012
235,Eduardo Najera,PF,Charlotte Bobcats,2750000,2012
236,Marreese Speights,F,Memphis Grizzlies,2721255,2012
237,Gordon Hayward,SF,Utah Jazz,2709720,2012
238,Dahntay Jones,SG,Indiana Pacers,2700000,2012
239,David Andersen,C,Fenerbahce Ulker Fenerbahce Ulker,2685185,2012
240,Jrue Holiday,SG,Philadelphia 76ers,2674852,2012
241,Roy Hibbert,C,Indiana Pacers,2588590,2012
242,Brandon Knight,PG,Detroit Pistons,2563320,2012
243,Ersan Ilyasova,PF,Milwaukee Bucks,2541000,2012
244,Kenyon Martin,PF,LA Clippers,2500000,2012
245,Aaron Gray,C,Toronto Raptors,2500000,2012
246,Reggie Williams,SF,Charlotte Bobcats,2500000,2012
247,Jason Smith,F,New Orleans Hornets,2500000,2012
248,DeShawn Stevenson,SG,New Jersey Nets,2500000,2012
249,Brandon Jennings,G,Milwaukee Bucks,2493720,2012
250,JaVale McGee,C,Washington Wizards,2462400,2012
251,Quentin Richardson,SF,Orlando Magic,2446200,2012
252,Paul George,SG,Indiana Pacers,2406240,2012
253,Ricky Davis,SG,LA Clippers,2400000,2012
254,Kemba Walker,PG,Charlotte Bobcats,2356320,2012
255,JJ Hickson,C,Sacramento Kings,2354537,2012
256,Jimmer Fredette,G,Sacramento Kings,2339040,2012
257,JR Smith,SG,New York Knicks,2338709,2012
258,Derek Fisher,PG,Oklahoma City Thunder,2329545,2012
259,Cole Aldrich,C,Oklahoma City Thunder,2286000,2012
260,Gerald Henderson,SG,Charlotte Bobcats,2250600,2012
261,Anthony Parker,SG,Cleveland Cavaliers,2250000,2012
262,Keyon Dooling,PG,Boston Celtics,2246400,2012
263,Ben Wallace,PF,Detroit Pistons,2246400,2012
264,Ryan Anderson,PF,Orlando Magic,2244601,2012
265,Courtney Lee,SG,Houston Rockets,2225093,2012
266,Ed Davis,C,Toronto Raptors,2207040,2012
267,Kosta Koufos,C,Denver Nuggets,2203792,2012
268,Rudy Fernandez,SG,Denver Nuggets,2180443,2012
269,Xavier Henry,SG,New Orleans Hornets,2171640,2012
270,Nicolas Batum,SG,Portland Trail Blazers,2155365,2012
271,Josh Howard,SF,Utah Jazz,2150000,2012
272,Tyler Hansbrough,PF,Indiana Pacers,2138040,2012
273,Klay Thompson,SG,Golden State Warriors,2126520,2012
274,Alec Burks,SG,Utah Jazz,2111160,2012
275,Goran Dragic,PG,Houston Rockets,2108000,2012
276,Anthony Johnson,PG,Orlando Magic,2062800,2012
277,Brent Barry,SG,Houston Rockets,2062800,2012
278,Anthony Tolliver,PF,Minnesota Timberwolves,2050000,2012
279,Darrell Arthur,F,Phoenix Suns,2027119,2012
280,Aaron Brooks,G,Minnesota Timberwolves,2016692,2012
281,Markieff Morris,PF,Phoenix Suns,2005560,2012
282,D.J. White,PF,Charlotte Bobcats,2001167,2012
283,Chauncey Billups,PG,LA Clippers,2000032,2012
284,Dante Cunningham,F,Memphis Grizzlies,2000000,2012
285,Earl Watson,PG,Utah Jazz,2000000,2012
286,Rasho Nesterovic,C,Toronto Raptors,1990000,2012
287,Patrick Patterson,PF,Houston Rockets,1959960,2012
288,Austin Daye,SF,Detroit Pistons,1929600,2012
289,Matt Barnes,SF,Los Angeles Lakers,1906200,2012
290,Luke Babbitt,F,Portland Trail Blazers,1892280,2012
291,Larry Sanders,PF,Milwaukee Bucks,1861920,2012
292,Omer Asik,C,Chicago Bulls,1857500,2012
293,Marcus Morris Sr.,SF,Houston Rockets,1823280,2012
294,Dikembe Mutombo,C,Houston Rockets,1823280,2012
295,Kawhi Leonard,SF,San Antonio Spurs,1809840,2012
296,Keith Bogans,SG,New Jersey Nets,1728000,2012
297,Nikola Vucevic,C,Philadelphia 76ers,1719480,2012
298,Kevin Seraphin,C,Washington Wizards,1680360,2012
299,Donte Greene,SF,Sacramento Kings,1679914,2012
300,Renaldo Balkman,SF,New York Knicks,1675000,2012
301,Ty Lawson,G,Denver Nuggets,1654440,2012
302,Eric Bledsoe,PG,LA Clippers,1596360,2012
303,Jeff Teague,PG,Atlanta Hawks,1579920,2012
304,Sebastian Telfair,PG,Phoenix Suns,1567500,2012
305,Gustavo Ayon,PF,New Orleans Hornets,1567500,2012
306,Iman Shumpert,SG,New York Knicks,1563120,2012
307,George Hill,PG,Indiana Pacers,1540493,2012
308,Avery Bradley,PG,Boston Celtics,1524480,2012
309,Eric Maynor,PG,Oklahoma City Thunder,1516680,2012
310,Greg Oden,C,Miami Heat,1500000,2012
311,Jeff Ayres,F,Indiana Pacers,1500000,2012
312,Gary Forbes,F,Toronto Raptors,1500000,2012
313,James Jones,SG,Miami Heat,1500000,2012
314,Chris Singleton,SF,Washington Wizards,1485000,2012
315,Alexis Ajinca,C,LA Clippers,1467840,2012
316,Darren Collison,G,Indiana Pacers,1455960,2012
317,Elliot Williams,SG,Portland Trail Blazers,1442880,2012
318,Tobias Harris,SF,Milwaukee Bucks,1418160,2012
319,Craig Brackins,PF,Philadelphia 76ers,1404960,2012
320,James Anderson,SG,San Antonio Spurs,1402540,2012
321,Zydrunas Ilgauskas,C,Miami Heat,1399507,2012
322,Eddie House,SG,Miami Heat,1399507,2012
323,Nolan Smith,PG,Portland Trail Blazers,1365720,2012
324,Jamaal Tinsley,PG,Utah Jazz,1352181,2012
325,Kurt Thomas,PF,Portland Trail Blazers,1352181,2012
326,Shaquille O'Neal,C,Boston Celtics,1352181,2012
327,Roko-Leni Ukic,PG,Milwaukee Bucks,1350000,2012
328,Omri Casspi,F,Cleveland Cavaliers,1341960,2012
329,Hamed Haddadi,C,Memphis Grizzlies,1300000,2012
330,Trevor Booker,F,Washington Wizards,1294920,2012
331,Serge Ibaka,C,Oklahoma City Thunder,1288200,2012
332,Byron Mullens,C,Charlotte Bobcats,1288200,2012
333,Kenneth Faried,F,Denver Nuggets,1254720,2012
334,Damion James,SF,New Jersey Nets,1243080,2012
335,Rodrigue Beaubois,PG,Dallas Mavericks,1236720,2012
336,Brian Cook,PF,Washington Wizards,1223166,2012
337,Royal Ivey,PG,Oklahoma City Thunder,1200000,2012
338,Taj Gibson,C,Chicago Bulls,1195680,2012
339,Dominique Jones,SG,Dallas Mavericks,1193280,2012
340,Sam Young,SF,Memphis Grizzlies,1184750,2012
341,Earl Clark,SF,Orlando Magic,1160000,2012
342,Reggie Jackson,PG,Oklahoma City Thunder,1156320,2012
343,Wayne Ellington,SG,Minnesota Timberwolves,1154040,2012
344,Quincy Pondexter,F,Memphis Grizzlies,1153800,2012
345,Toney Douglas,PG,New York Knicks,1145640,2012
346,Jordan Hamilton,SG,Denver Nuggets,1121520,2012
347,Jordan Crawford,G,Washington Wizards,1120440,2012
348,Greivis Vasquez,PG,New Orleans Hornets,1113600,2012
349,Stephen Graham,SF,Milwaukee Bucks,1106941,2012
350,Joey Graham,SF,Cleveland Cavaliers,1106941,2012
351,Daniel Orton,C,Orlando Magic,1105560,2012
352,Christian Eyenga,SF,Los Angeles Lakers,1097520,2012
353,Lazar Hayward,SF,Oklahoma City Thunder,1097520,2012
354,Norris Cole,F,Miami Heat,1082520,2012
355,Cory Joseph,PG,San Antonio Spurs,1074720,2012
356,Alando Tucker,SF,Minnesota Timberwolves,1071720,2012
357,Von Wafer,SG,Orlando Magic,1069509,2012
358,MarShon Brooks,G,New Jersey Nets,1063865,2012
359,Stephen Jackson,SF,San Antonio Spurs,1059750,2012
360,DeJuan Blair,C,San Antonio Spurs,1054000,2012
361,JaJuan Johnson,PF,Boston Celtics,1042320,2012
362,Quinton Ross,SF,Brooklyn Nets,1033342,2012
363,Jawad Williams,SF,Cleveland Cavaliers,1029389,2012
364,Earl Barron,C,Golden State Warriors,1027424,2012
365,Jimmy Butler,SF,Chicago Bulls,1020960,2012
366,Jon Brockman,PF,Milwaukee Bucks,1000000,2012
367,Jeremy Pargo,PG,Memphis Grizzlies,1000000,2012
368,Shavlik Randolph,PF,Denver Nuggets,992680,2012
369,Ian Mahinmi,C,Dallas Mavericks,915852,2012
370,John Lucas III,PG,Chicago Bulls,915852,2012
371,Brandan Wright,F,Dallas Mavericks,915852,2012
372,Henry Walker,SF,New York Knicks,885120,2012
373,DeMarre Carroll,SF,Utah Jazz,885120,2012
374,Alexander Johnson,SF,Miami Heat,885120,2012
375,Pops Mensah-Bonsu,PF,Denver Nuggets,885120,2012
376,Salim Stoudamire,SG,Atlanta Hawks,884881,2012
377,Patrick Ewing Jr.,SF,New Orleans Pelicans,884293,2012
378,Quincy Douby,SG,Sacramento Kings,855189,2012
379,Marcus Haislip,F,San Antonio Spurs,855189,2012
380,Mouhamed Sene,C,New York Knicks,855189,2012
381,Anthony Roberson,SG,Chicago Bulls,855189,2012
382,Tarence Kinsey,SG,Golden State Warriors,855189,2012
383,Javaris Crittenton,PG,Washington Wizards,854389,2012
384,Jannero Pargo,PG,Atlanta Hawks,854389,2012
385,Darius Miles,SF,Memphis Grizzlies,854389,2012
386,Kyle Weaver,SG,Memphis Grizzlies,854389,2012
387,Derrick Byars,SF,San Antonio Spurs,854389,2012
388,Luke Jackson,SF,Miami Heat,854389,2012
389,Josh Davis,SF,Memphis Grizzlies,854389,2012
390,Kenny Thomas,PF,Sacramento Kings,854389,2012
391,Jodie Meeks,G,Philadelphia 76ers,854389,2012
392,Mickael Pietrus,SF,Boston Celtics,854389,2012
393,Jamaal Magloire,C,Toronto Raptors,854389,2012
394,Melvin Ely,C,Washington Wizards,854389,2012
395,Maurice Evans,SG,Washington Wizards,854389,2012
396,Dominic McGuire,PF,Golden State Warriors,854389,2012
397,Mike Harris,SF,Utah Jazz,854389,2012
398,Dwayne Jones II,PF,Utah Jazz,854389,2012
399,Derrick Brown,SF,Charlotte Bobcats,854389,2012
400,Malik Hairston,SG,San Antonio Spurs,854389,2012
401,Tracy McGrady,SG,Atlanta Hawks,854389,2012
402,Trey Johnson,SG,New Orleans Hornets,854389,2012
403,Antoine Wright,SF,Sacramento Kings,854389,2012
404,Sean May,C,Sacramento Kings,854389,2012
405,Luther Head,PG,Sacramento Kings,854389,2012
406,Reggie Evans,C,LA Clippers,854389,2012
407,Roger Mason Jr.,SG,Washington Wizards,854389,2012
408,Hassan Whiteside,C,Sacramento Kings,854389,2012
409,Coby Karl,PG,Denver Nuggets,854389,2012
410,Craig Smith,PF,Portland Trail Blazers,854389,2012
411,Fabricio Oberto,C,Portland Trail Blazers,854389,2012
412,Sasha Pavlovic,SG,Boston Celtics,854389,2012
413,Jared Jeffries,PF,New York Knicks,854389,2012
414,A.J. Price,PG,Indiana Pacers,854389,2012
415,Ronnie Price,PG,Phoenix Suns,854389,2012
416,Sonny Weems,SG,Philadelphia 76ers,854389,2012
417,Francisco Elson,C,Philadelphia 76ers,854389,2012
418,Tony Battie,C,Philadelphia 76ers,854389,2012
419,Willie Green,SG,Atlanta Hawks,854389,2012
420,Larry Hughes,SG,Orlando Magic,854389,2012
421,Malik Allen,PF,Orlando Magic,854389,2012
422,DaJuan Summers,SF,New Orleans Hornets,854389,2012
423,Didier Ilunga-Mbenga,C,New York Knicks,854389,2012
424,Baron Davis,PG,New York Knicks,854389,2012
425,Mike Bibby,PG,New York Knicks,854389,2012
426,Chase Budinger,SF,Houston Rockets,854389,2012
427,Jason Collins,C,Atlanta Hawks,854389,2012
428,Jerry Stackhouse,SF,Atlanta Hawks,854389,2012
429,Shelden Williams,C,New Jersey Nets,854389,2012
430,Maurice Ager,SF,Minnesota Timberwolves,854389,2012
431,Rasual Butler,SF,Toronto Raptors,854389,2012
432,Steve Novak,SF,New York Knicks,854389,2012
433,Marquis Daniels,SG,Boston Celtics,854389,2012
434,Josh Powell,PF,Milwaukee Bucks,854389,2012
435,Juwan Howard,PF,Miami Heat,854389,2012
436,Danny Green,SG,San Antonio Spurs,854389,2012
437,Joe Smith,PF,Los Angeles Lakers,854389,2012
438,Theo Ratliff,C,Los Angeles Lakers,854389,2012
439,Sundiata Gaines,PG,New Jersey Nets,854389,2012
440,Darnell Jackson,PF,Indiana Pacers,854389,2012
441,Damien Wilkins,SG,Detroit Pistons,854389,2012
442,Joe Alexander,SF,Golden State Warriors,854389,2012
443,Hilton Armstrong,PF,Golden State Warriors,854389,2012
444,Jason Kapono,SG,Los Angeles Lakers,854389,2012
445,T.J. Ford,PG,San Antonio Spurs,854389,2012
446,Alonzo Gee,SF,Cleveland Cavaliers,854389,2012
447,Joey Dorsey,PF,Denver Nuggets,854389,2012
448,Anthony Carter,PG,Toronto Raptors,854389,2012
449,Delonte West,SG,Dallas Mavericks,854389,2012
450,Troy Murphy,PF,Los Angeles Lakers,854389,2012
451,Eddy Curry,NA,Miami Heat,854389,2012
452,Tim Thomas,PF,Dallas Mavericks,854389,2012
453,Brian Cardinal,PF,Dallas Mavericks,854389,2012
454,Chris Richard,PF,Chicago Bulls,854389,2012
455,Brian Scalabrine,PF,Chicago Bulls,854389,2012
456,Vladimir Radmanovic,SF,Atlanta Hawks,854389,2012
457,Chris Douglas-Roberts,SG,New Orleans Pelicans,854389,2012
458,D.J. Strawberry,SG,Phoenix Suns,854389,2012
459,Gary Neal,PG,San Antonio Spurs,854389,2012
460,Etan Thomas,C,Atlanta Hawks,854389,2012
461,Chandler Parsons,SF,Houston Rockets,850000,2012
462,Solomon Alabi,C,Toronto Raptors,830000,2012
463,Michael Redd,SG,Phoenix Suns,826828,2012
464,Paul Davis,C,Washington Wizards,825497,2012
465,Kevin Ollie,PG,Oklahoma City Thunder,825497,2012
466,Ryan Bowen,SF,Oklahoma City Thunder,825497,2012
467,Desmond Mason,SF,Sacramento Kings,825497,2012
468,Linton Johnson,PF,Chicago Bulls,825497,2012
469,James White,SG,New York Knicks,825497,2012
470,Jason Hart,PG,New Orleans Pelicans,825497,2012
471,Kareem Rush,SG,LA Clippers,825497,2012
472,Jermareo Davidson,PF,Golden State Warriors,825497,2012
473,Marcus Williams,SG,Denver Nuggets,825497,2012
474,Lindsey Hunter,SG,Phoenix Suns,825497,2012
475,Gabe Pruitt,PG,Boston Celtics,825497,2012
476,Lance Stephenson,G,Indiana Pacers,810000,2012
477,Tyler Honeycutt,SF,Sacramento Kings,809875,2012
478,Chris Quinn,PG,Cleveland Cavaliers,804131,2012
479,Sean Marks,PF,Portland Trail Blazers,799105,2012
480,Ike Diogu,PF,San Antonio Spurs,792377,2012
481,Solomon Jones,PF,LA Clippers,792377,2012
